movie_id,company_id,company_name
200,4,Paramount Pictures
200,76068,Digital Image Associates
203,269193,Taplin-Perry-Scorsese Productions
204,11788,Compagnie Industrielle et Commerciale Cinématographique
204,141,Véra Films
204,144,Fono Roma
204,534,Filmsonor
205,60,United Artists
205,2760,Miracle Pictures
205,217089,Seamus
205,52723,Inside Track
205,217090,Kiagli Releasing
205,11912,Mikado Film
205,21,Metro-Goldwyn-Mayer
205,2188,Artisan Entertainment
205,35,Lions Gate Films
207,184460,A Steven Haft Production
207,1089,Witt/Thomas Productions
207,10282,Silver Screen Partners IV
207,9195,Touchstone Pictures
201,4,Paramount Pictures
201,76068,Digital Image Associates
